"","moisture","diffusion","ammonium","nitrate","oxygen","co2","id","rownames"
"1",0.22,3.18,0.74,0,0.144,0,"sim_diff_3.18_nh4_0.74_no3_0_mois_0.22_o2_0.144",1
"2",0.24,3.18,0.55,0,0.15,0,"sim_diff_3.18_nh4_0.55_no3_0_mois_0.24_o2_0.15",2
"3",0.55,3.18,3.2,0,0.013,0,"sim_diff_3.18_nh4_3.2_no3_0_mois_0.55_o2_0.013",3
"4",0.51,3.18,2,1.76,0.126,0,"sim_diff_3.18_nh4_2_no3_1.76_mois_0.51_o2_0.126",4
"5",0.43,3.18,2.61,0.02,0.007,0,"sim_diff_3.18_nh4_2.61_no3_0.02_mois_0.43_o2_0.007",5
"6",0.21,3.18,0.65,0,0.13,0,"sim_diff_3.18_nh4_0.65_no3_0_mois_0.21_o2_0.13",6
"7",0.63,3.18,5.92,0.48,0.121,0,"sim_diff_3.18_nh4_5.92_no3_0.48_mois_0.63_o2_0.121",7
"8",0.49,3.18,2.63,0,0.01,0,"sim_diff_3.18_nh4_2.63_no3_0_mois_0.49_o2_0.01",8
"9",1.22,3.18,8.47,0,0.006,0,"sim_diff_3.18_nh4_8.47_no3_0_mois_1.22_o2_0.006",9
"10",0.62,3.18,3.33,0.55,0.005,0,"sim_diff_3.18_nh4_3.33_no3_0.55_mois_0.62_o2_0.005",10
"11",0.49,3.18,1.74,2.5,0.112,0,"sim_diff_3.18_nh4_1.74_no3_2.5_mois_0.49_o2_0.112",11
"12",0.67,3.18,0.86,1.53,0.004,0,"sim_diff_3.18_nh4_0.86_no3_1.53_mois_0.67_o2_0.004",12
"13",0.87,3.18,5,0,0.116,0,"sim_diff_3.18_nh4_5_no3_0_mois_0.87_o2_0.116",13
"14",0.41,3.18,3.86,0,0.115,0,"sim_diff_3.18_nh4_3.86_no3_0_mois_0.41_o2_0.115",14
"15",0.4,3.18,2.61,0,0.116,0,"sim_diff_3.18_nh4_2.61_no3_0_mois_0.4_o2_0.116",15
"16",0.31,3.18,0.92,0.14,0.121,0,"sim_diff_3.18_nh4_0.92_no3_0.14_mois_0.31_o2_0.121",16
"17",0.53,3.18,4.67,0,0.008,0,"sim_diff_3.18_nh4_4.67_no3_0_mois_0.53_o2_0.008",17
"18",0.59,3.18,6.23,2.35,0.108,0,"sim_diff_3.18_nh4_6.23_no3_2.35_mois_0.59_o2_0.108",18
"19",0.37,3.18,2.78,0.36,0.147,0,"sim_diff_3.18_nh4_2.78_no3_0.36_mois_0.37_o2_0.147",19
"20",0.56,3.18,4.82,0.2,0.013,0,"sim_diff_3.18_nh4_4.82_no3_0.2_mois_0.56_o2_0.013",20
"21",0.48,3.18,2.74,3,0.11,0,"sim_diff_3.18_nh4_2.74_no3_3_mois_0.48_o2_0.11",21
"22",0.31,3.18,3.48,0.33,0.148,0,"sim_diff_3.18_nh4_3.48_no3_0.33_mois_0.31_o2_0.148",22
"23",0.32,3.18,0.96,0,0.138,0,"sim_diff_3.18_nh4_0.96_no3_0_mois_0.32_o2_0.138",23
"24",0.53,3.18,3.02,0,0.013,0,"sim_diff_3.18_nh4_3.02_no3_0_mois_0.53_o2_0.013",24
"25",0.69,3.18,3.36,2.19,0.111,0,"sim_diff_3.18_nh4_3.36_no3_2.19_mois_0.69_o2_0.111",25
"26",0.22,3.18,0.51,1.17,0.133,0,"sim_diff_3.18_nh4_0.51_no3_1.17_mois_0.22_o2_0.133",26
"27",0.2,3.18,0.51,0,0.122,0,"sim_diff_3.18_nh4_0.51_no3_0_mois_0.2_o2_0.122",27
"28",0.4,3.18,1.47,0,0.102,0,"sim_diff_3.18_nh4_1.47_no3_0_mois_0.4_o2_0.102",28
"29",0.4,3.18,0.64,0.14,0.111,0,"sim_diff_3.18_nh4_0.64_no3_0.14_mois_0.4_o2_0.111",29
"30",1,3.18,6.58,0.07,0.003,0,"sim_diff_3.18_nh4_6.58_no3_0.07_mois_1_o2_0.003",30
"31",0.66,3.18,5.22,0,0.105,0,"sim_diff_3.18_nh4_5.22_no3_0_mois_0.66_o2_0.105",31
"32",0.12,3.18,0.15,0,0.143,0,"sim_diff_3.18_nh4_0.15_no3_0_mois_0.12_o2_0.143",32
"33",0.18,3.18,0.53,0.09,0.01,0,"sim_diff_3.18_nh4_0.53_no3_0.09_mois_0.18_o2_0.01",33
"34",0.12,3.18,0.34,0,0.139,0,"sim_diff_3.18_nh4_0.34_no3_0_mois_0.12_o2_0.139",34
"35",0.21,3.18,0.61,0.1,0.009,0,"sim_diff_3.18_nh4_0.61_no3_0.1_mois_0.21_o2_0.009",35
"36",0.22,3.18,0.46,0,0.009,0,"sim_diff_3.18_nh4_0.46_no3_0_mois_0.22_o2_0.009",36
"37",0.23,3.18,0.42,0,0.173,0,"sim_diff_3.18_nh4_0.42_no3_0_mois_0.23_o2_0.173",37
"38",0.29,3.18,1.5,1,0.117,0,"sim_diff_3.18_nh4_1.5_no3_1_mois_0.29_o2_0.117",38
"39",0.28,3.18,0.65,0.07,0.168,0,"sim_diff_3.18_nh4_0.65_no3_0.07_mois_0.28_o2_0.168",39
"40",0.64,3.18,4.6,2.95,0.115,0,"sim_diff_3.18_nh4_4.6_no3_2.95_mois_0.64_o2_0.115",40
"41",0.65,3.18,7.79,0.4,0.113,0,"sim_diff_3.18_nh4_7.79_no3_0.4_mois_0.65_o2_0.113",41
"42",0.26,3.18,1.17,0.07,0.168,0,"sim_diff_3.18_nh4_1.17_no3_0.07_mois_0.26_o2_0.168",42
"43",0.41,3.18,0.91,0.33,0.125,0,"sim_diff_3.18_nh4_0.91_no3_0.33_mois_0.41_o2_0.125",43
"44",0.29,3.18,1.03,0,0.131,0,"sim_diff_3.18_nh4_1.03_no3_0_mois_0.29_o2_0.131",44
"45",0.37,3.18,0.44,0,0.003,0,"sim_diff_3.18_nh4_0.44_no3_0_mois_0.37_o2_0.003",45
"46",0.9,3.18,10.45,2.48,0.131,0,"sim_diff_3.18_nh4_10.45_no3_2.48_mois_0.9_o2_0.131",46
"47",0.51,3.18,1.3,0.29,0.118,0,"sim_diff_3.18_nh4_1.3_no3_0.29_mois_0.51_o2_0.118",47
"48",0.33,3.18,0.22,0.45,0.001,0,"sim_diff_3.18_nh4_0.22_no3_0.45_mois_0.33_o2_0.001",48
"49",0.92,3.18,2.99,0,0.109,0,"sim_diff_3.18_nh4_2.99_no3_0_mois_0.92_o2_0.109",49
"50",0.47,3.18,1.65,0.16,0.163,0,"sim_diff_3.18_nh4_1.65_no3_0.16_mois_0.47_o2_0.163",50
"51",0.59,3.18,3.21,2.44,0.123,0,"sim_diff_3.18_nh4_3.21_no3_2.44_mois_0.59_o2_0.123",51
"52",0.43,3.18,0.4,1.7,0.123,0,"sim_diff_3.18_nh4_0.4_no3_1.7_mois_0.43_o2_0.123",52
"53",0.36,3.18,1.48,0,0.156,0,"sim_diff_3.18_nh4_1.48_no3_0_mois_0.36_o2_0.156",53
"54",0.47,3.18,6.08,0,0.01,0,"sim_diff_3.18_nh4_6.08_no3_0_mois_0.47_o2_0.01",54
"55",0.39,3.18,1.76,0,0.148,0,"sim_diff_3.18_nh4_1.76_no3_0_mois_0.39_o2_0.148",55
"56",0.19,3.18,0.37,0.36,0.136,0,"sim_diff_3.18_nh4_0.37_no3_0.36_mois_0.19_o2_0.136",56
"57",0.58,3.18,5.68,2.1,0.126,0,"sim_diff_3.18_nh4_5.68_no3_2.1_mois_0.58_o2_0.126",57
"58",0.62,3.18,1.04,0,0.007,0,"sim_diff_3.18_nh4_1.04_no3_0_mois_0.62_o2_0.007",58
"59",0.24,3.18,0.78,0.19,0.011,0,"sim_diff_3.18_nh4_0.78_no3_0.19_mois_0.24_o2_0.011",59
"60",0.22,3.18,1.12,0,0.01,0,"sim_diff_3.18_nh4_1.12_no3_0_mois_0.22_o2_0.01",60
"61",0.34,3.18,0.3,0.18,0.012,0,"sim_diff_3.18_nh4_0.3_no3_0.18_mois_0.34_o2_0.012",61
"62",1.39,3.18,5.46,0.17,0.119,0,"sim_diff_3.18_nh4_5.46_no3_0.17_mois_1.39_o2_0.119",62
"63",0.13,3.18,0.8,1.32,0.143,0,"sim_diff_3.18_nh4_0.8_no3_1.32_mois_0.13_o2_0.143",63
"64",0.22,3.18,1.45,0.05,0.118,0,"sim_diff_3.18_nh4_1.45_no3_0.05_mois_0.22_o2_0.118",64
"65",0.25,3.18,0.74,1.46,0.143,0,"sim_diff_3.18_nh4_0.74_no3_1.46_mois_0.25_o2_0.143",65
"66",0.37,3.18,0.53,0.28,0.005,0,"sim_diff_3.18_nh4_0.53_no3_0.28_mois_0.37_o2_0.005",66
"67",0.47,3.18,1.27,0.05,0.001,0,"sim_diff_3.18_nh4_1.27_no3_0.05_mois_0.47_o2_0.001",67
"68",0.51,3.18,3.35,0.55,0.112,0,"sim_diff_3.18_nh4_3.35_no3_0.55_mois_0.51_o2_0.112",68
"69",0.33,3.18,0.73,1.47,0.112,0,"sim_diff_3.18_nh4_0.73_no3_1.47_mois_0.33_o2_0.112",69
"70",0.28,3.18,0.45,0,0.113,0,"sim_diff_3.18_nh4_0.45_no3_0_mois_0.28_o2_0.113",70
"71",0.28,3.18,1.29,0,0.133,0,"sim_diff_3.18_nh4_1.29_no3_0_mois_0.28_o2_0.133",71
"72",0.5,3.18,1.08,0.79,0.006,0,"sim_diff_3.18_nh4_1.08_no3_0.79_mois_0.5_o2_0.006",72
"73",0.32,3.18,0.34,0,0.119,0,"sim_diff_3.18_nh4_0.34_no3_0_mois_0.32_o2_0.119",73
"74",0.23,2.11,1.34,0.01,0.13,0,"sim_diff_2.11_nh4_1.34_no3_0.01_mois_0.23_o2_0.13",74
"75",0.73,2.11,9.4,3.98,0.113,0,"sim_diff_2.11_nh4_9.4_no3_3.98_mois_0.73_o2_0.113",75
"76",0.16,2.11,1.25,0.06,0.169,0,"sim_diff_2.11_nh4_1.25_no3_0.06_mois_0.16_o2_0.169",76
"77",0.33,2.11,6.86,0,0.01,0,"sim_diff_2.11_nh4_6.86_no3_0_mois_0.33_o2_0.01",77
"78",0.29,2.11,2.55,0.37,0.127,0,"sim_diff_2.11_nh4_2.55_no3_0.37_mois_0.29_o2_0.127",78
"79",0.15,2.11,2.24,0.19,0.169,0,"sim_diff_2.11_nh4_2.24_no3_0.19_mois_0.15_o2_0.169",79
"80",0.11,2.11,1.68,0,0.173,0,"sim_diff_2.11_nh4_1.68_no3_0_mois_0.11_o2_0.173",80
"81",0.09,2.11,0.5,0.04,0.169,0,"sim_diff_2.11_nh4_0.5_no3_0.04_mois_0.09_o2_0.169",81
"82",0.18,2.11,2.72,0,0.15,0,"sim_diff_2.11_nh4_2.72_no3_0_mois_0.18_o2_0.15",82
"83",0.3,2.11,13.59,0.02,0.008,0,"sim_diff_2.11_nh4_13.59_no3_0.02_mois_0.3_o2_0.008",83
"84",0.37,2.11,12.67,5.56,0.108,0,"sim_diff_2.11_nh4_12.67_no3_5.56_mois_0.37_o2_0.108",84
"85",0.39,2.11,6.84,1.34,0.111,0,"sim_diff_2.11_nh4_6.84_no3_1.34_mois_0.39_o2_0.111",85
"86",0.57,2.11,5.45,4.79,0.126,0,"sim_diff_2.11_nh4_5.45_no3_4.79_mois_0.57_o2_0.126",86
"87",0.25,2.11,1.96,0,0.164,0,"sim_diff_2.11_nh4_1.96_no3_0_mois_0.25_o2_0.164",87
"88",0.44,2.11,21.84,0.88,0.013,0,"sim_diff_2.11_nh4_21.84_no3_0.88_mois_0.44_o2_0.013",88
"89",0.38,2.11,3.6,1.3,0.112,0,"sim_diff_2.11_nh4_3.6_no3_1.3_mois_0.38_o2_0.112",89
"90",0.46,2.11,3.83,0.34,0.124,0,"sim_diff_2.11_nh4_3.83_no3_0.34_mois_0.46_o2_0.124",90
"91",0.35,2.11,5.38,0.62,0.123,0,"sim_diff_2.11_nh4_5.38_no3_0.62_mois_0.35_o2_0.123",91
"92",0.21,2.11,0.53,0,0.156,0,"sim_diff_2.11_nh4_0.53_no3_0_mois_0.21_o2_0.156",92
"93",0.16,2.11,0.58,0,0.149,0,"sim_diff_2.11_nh4_0.58_no3_0_mois_0.16_o2_0.149",93
"94",0.44,2.11,4.96,1.88,0.013,0,"sim_diff_2.11_nh4_4.96_no3_1.88_mois_0.44_o2_0.013",94
"95",0.08,2.11,0.18,0,0.01,0,"sim_diff_2.11_nh4_0.18_no3_0_mois_0.08_o2_0.01",95
"96",0.13,2.11,0.28,0.11,0.136,0,"sim_diff_2.11_nh4_0.28_no3_0.11_mois_0.13_o2_0.136",96
"97",0.18,2.11,1.44,1.14,0.133,0,"sim_diff_2.11_nh4_1.44_no3_1.14_mois_0.18_o2_0.133",97
"98",0.26,2.11,1.86,0.08,0.137,0,"sim_diff_2.11_nh4_1.86_no3_0.08_mois_0.26_o2_0.137",98
"99",0.29,2.11,6.81,0,0.13,0,"sim_diff_2.11_nh4_6.81_no3_0_mois_0.29_o2_0.13",99
"100",0.15,2.11,1.85,0.3,0.122,0,"sim_diff_2.11_nh4_1.85_no3_0.3_mois_0.15_o2_0.122",100
"101",0.09,2.11,1.15,0.02,0.143,0,"sim_diff_2.11_nh4_1.15_no3_0.02_mois_0.09_o2_0.143",101
"102",0.23,2.11,1.74,3.67,0.116,0,"sim_diff_2.11_nh4_1.74_no3_3.67_mois_0.23_o2_0.116",102
"103",0.13,2.11,0.56,0.59,0.117,0,"sim_diff_2.11_nh4_0.56_no3_0.59_mois_0.13_o2_0.117",103
"104",0.3,2.11,2.15,1.1,0.118,0,"sim_diff_2.11_nh4_2.15_no3_1.1_mois_0.3_o2_0.118",104
"105",0.1,2.11,0.79,0,0.117,0,"sim_diff_2.11_nh4_0.79_no3_0_mois_0.1_o2_0.117",105
"106",0.12,2.11,0.44,0.04,0.122,0,"sim_diff_2.11_nh4_0.44_no3_0.04_mois_0.12_o2_0.122",106
"107",0.12,2.11,0.32,0.29,0.143,0,"sim_diff_2.11_nh4_0.32_no3_0.29_mois_0.12_o2_0.143",107
"108",0.21,2.11,1.85,0.41,0.119,0,"sim_diff_2.11_nh4_1.85_no3_0.41_mois_0.21_o2_0.119",108
"109",0.42,2.11,2.18,0.91,0.121,0,"sim_diff_2.11_nh4_2.18_no3_0.91_mois_0.42_o2_0.121",109
"110",0.3,2.11,2.22,1.13,0.106,0,"sim_diff_2.11_nh4_2.22_no3_1.13_mois_0.3_o2_0.106",110
"111",0.45,2.11,2.67,1.93,0.007,0,"sim_diff_2.11_nh4_2.67_no3_1.93_mois_0.45_o2_0.007",111
"112",0.42,2.11,4.99,2.92,0.112,0,"sim_diff_2.11_nh4_4.99_no3_2.92_mois_0.42_o2_0.112",112
"113",0.42,2.11,3.05,0,0.008,0,"sim_diff_2.11_nh4_3.05_no3_0_mois_0.42_o2_0.008",113
"114",0.16,2.11,1.79,0.08,0.13,0,"sim_diff_2.11_nh4_1.79_no3_0.08_mois_0.16_o2_0.13",114
"115",0.35,2.11,3.17,0,0.126,0,"sim_diff_2.11_nh4_3.17_no3_0_mois_0.35_o2_0.126",115
"116",0.26,2.11,2.47,0,0.112,0,"sim_diff_2.11_nh4_2.47_no3_0_mois_0.26_o2_0.112",116
"117",0.2,2.11,2.65,0.75,0.122,0,"sim_diff_2.11_nh4_2.65_no3_0.75_mois_0.2_o2_0.122",117
"118",0.17,2.11,1.46,0,0.114,0,"sim_diff_2.11_nh4_1.46_no3_0_mois_0.17_o2_0.114",118
"119",0.13,2.11,0.46,0,0.102,0,"sim_diff_2.11_nh4_0.46_no3_0_mois_0.13_o2_0.102",119
"120",0.46,2.11,3.23,2.6,0.111,0,"sim_diff_2.11_nh4_3.23_no3_2.6_mois_0.46_o2_0.111",120
"121",0.53,2.11,3.46,0,0.003,0,"sim_diff_2.11_nh4_3.46_no3_0_mois_0.53_o2_0.003",121
"122",0.46,2.11,3.59,10.64,0.105,0,"sim_diff_2.11_nh4_3.59_no3_10.64_mois_0.46_o2_0.105",122
"123",0.46,2.11,3.01,2.28,0.111,0,"sim_diff_2.11_nh4_3.01_no3_2.28_mois_0.46_o2_0.111",123
"124",0.34,2.11,1.64,0.05,0.103,0,"sim_diff_2.11_nh4_1.64_no3_0.05_mois_0.34_o2_0.103",124
"125",0.43,2.11,2.78,1.86,0.003,0,"sim_diff_2.11_nh4_2.78_no3_1.86_mois_0.43_o2_0.003",125
