"","sampleID","horizon","mois","temp","bd","Dgas","Dliq","CO2","CH4","O2","H2","avail_ammonium","avail_nitrate_nitrite","nmin_obs","nitr_obs","moisture","liq_diffusion","gas_diffusion","ammonium","nitrate","oxygen","co2","id"
"1","HARV_001-M-20-3-20180710","M",0.222975377736842,17.3,0.8,1.43414048037368,3.17752259411457,0.000265928075637809,1.24168751270572e-06,0.144173716753053,3.44913197973812e-07,0.738266691319029,0,NA,NA,0.22,3.18,1.43,0.74,0,0.144,0,"sim_diff_3.18_nh4_0.74_no3_0_mois_0.22_o2_0.144"
"2","HARV_001-M-27-32.5-20180710","M",0.242062764157895,17.7,0.8,1.43414048037368,3.17752259411457,0.000276677394345774,1.29187888410478e-06,0.150001492654388,3.58855245584661e-07,0.549949330148459,0,0.046,0.034,0.24,3.18,1.43,0.55,0,0.15,0,"sim_diff_3.18_nh4_0.55_no3_0_mois_0.24_o2_0.15"
"3","HARV_001-M-28-35-20180418","M",0.553534206210526,4.3,0.8,1.43414048037368,3.17752259411457,2.31165531787738e-05,1.07937213286104e-07,0.0125327097648865,2.99825592461399e-08,3.20465648815928,0,-0.001,0.014,0.55,3.18,1.43,3.2,0,0.013,0,"sim_diff_3.18_nh4_3.2_no3_0_mois_0.55_o2_0.013"
"4","HARV_001-M-35-37-20181010","M",0.510153782526316,16.1,0.8,1.43414048037368,3.17752259411457,0.000233168981147569,1.08872676022211e-06,0.12641327382579,3.02424100061698e-07,1.99710300999487,1.76205436027956,0.032,-0.018,0.51,3.18,1.43,2,1.76,0.126,0,"sim_diff_3.18_nh4_2_no3_1.76_mois_0.51_o2_0.126"
"5","HARV_001-M-37.5-12.5-20180418","M",0.432936628368421,3.2,0.8,1.43414048037368,3.17752259411457,1.38165590541318e-05,6.45131162060629e-08,0.00749068960392619,1.79203100572397e-08,2.61101391323792,0.0206349887769066,0.053,0.006,0.43,3.18,1.43,2.61,0.02,0.007,0,"sim_diff_3.18_nh4_2.61_no3_0.02_mois_0.43_o2_0.007"
"6","HARV_001-M-37.5-5.5-20181010","M",0.209961250631579,16.3,0.8,1.43414048037368,3.17752259411457,0.000239675124640923,1.11910564034672e-06,0.129940599351369,3.10862677874089e-07,0.649143389090594,0,0.094,0.045,0.21,3.18,1.43,0.65,0,0.13,0,"sim_diff_3.18_nh4_0.65_no3_0_mois_0.21_o2_0.13"
"7","HARV_001-M-8-19-20181010","M",0.627280926473684,15.7,0.8,1.43414048037368,3.17752259411457,0.000222609844011836,1.03942339616421e-06,0.120688605443511,2.88728721156726e-07,5.92179516999667,0.480361035331268,-0.061,-0.001,0.63,3.18,1.43,5.92,0.48,0.121,0,"sim_diff_3.18_nh4_5.92_no3_0.48_mois_0.63_o2_0.121"
"8","HARV_001-M-9-34.5-20180418","M",0.48846357068421,3.7,0.8,1.43414048037368,3.17752259411457,1.77936287341012e-05,8.30830913654529e-08,0.0096468700529887,2.30786364904036e-08,2.62616002256862,0,0.017,0.015,0.49,3.18,1.43,2.63,0,0.01,0,"sim_diff_3.18_nh4_2.63_no3_0_mois_0.49_o2_0.01"
"9","HARV_033-M-0-32.5-20180418","M",1.21812229705263,2.9,0.8,1.43414048037368,3.17752259411457,1.14503140162425e-05,5.34645012431557e-08,0.00620782264434419,1.4851250345321e-08,8.46502652223822,0,0.09,0.025,1.22,3.18,1.43,8.47,0,0.006,0,"sim_diff_3.18_nh4_8.47_no3_0_mois_1.22_o2_0.006"
"10","HARV_033-M-14.5-0-20180418","M",0.616869624789474,2.4,0.8,1.43414048037368,3.17752259411457,8.32106849164215e-06,3.88532380932707e-08,0.00451129264527421,1.07925661370196e-08,3.3321991896656,0.55079292488002,0.033,-0.001,0.62,3.18,1.43,3.33,0.55,0.005,0,"sim_diff_3.18_nh4_3.33_no3_0.55_mois_0.62_o2_0.005"
"11","HARV_033-M-16.5-5-20181010","M",0.492801613052631,15,0.8,1.43414048037368,3.17752259411457,0.000206079130179109,9.62237183715685e-07,0.111726428553655,2.6728810658769e-07,1.73657008021894,2.49759177452589,1.686,0.164,0.49,3.18,1.43,1.74,2.5,0.112,0,"sim_diff_3.18_nh4_1.74_no3_2.5_mois_0.49_o2_0.112"
"12","HARV_033-M-31.5-30-20180418","M",0.668058524736842,2.3,0.8,1.43414048037368,3.17752259411457,7.71601755625055e-06,3.60280975389131e-08,0.00418326243646269,1.00078048719203e-08,0.859722277899576,1.53476347387998,NA,NA,0.67,3.18,1.43,0.86,1.53,0.004,0,"sim_diff_3.18_nh4_0.86_no3_1.53_mois_0.67_o2_0.004"
"13","HARV_033-M-37.5-26.5-20181010","M",0.865873256736842,15.4,0.8,1.43414048037368,3.17752259411457,0.000214203981999639,1.00017423501777e-06,0.116131341732619,2.77826176393825e-07,4.99916994768524,0,0.134,0.128,0.87,3.18,1.43,5,0,0.116,0,"sim_diff_3.18_nh4_5_no3_0_mois_0.87_o2_0.116"
"14","HARV_033-M-6.5-31.5-20180709","M",0.40604076568421,15.2,0.8,1.43414048037368,3.17752259411457,0.000211273049774091,9.86488948361514e-07,0.114542327893087,2.74024707878198e-07,3.86157969532983,0,0.436,0.325,0.41,3.18,1.43,3.86,0,0.115,0,"sim_diff_3.18_nh4_3.86_no3_0_mois_0.41_o2_0.115"
"15","HARV_033-M-8.5-15.5-20180709","M",0.396497072473684,15.3,0.8,1.43414048037368,3.17752259411457,0.000213751688834357,9.98062360316063e-07,0.115886129614476,2.7723954453224e-07,2.60794830101081,0,0.083,0.142,0.4,3.18,1.43,2.61,0,0.116,0,"sim_diff_3.18_nh4_2.61_no3_0_mois_0.4_o2_0.116"
"16","HARV_033-M-9.5-24.5-20181010","M",0.311471442052632,15.7,0.8,1.43414048037368,3.17752259411457,0.000224001825641057,1.0459229212812e-06,0.121443272526539,2.90534144800334e-07,0.922407431514714,0.141528178869747,0.124,0.083,0.31,3.18,1.43,0.92,0.14,0.121,0,"sim_diff_3.18_nh4_0.92_no3_0.14_mois_0.31_o2_0.121"
"17","HARV_004-M-0.5-26.5-20180418","M",0.529241168947368,3.4,0.8,1.43414048037368,3.17752259411457,1.53338020887653e-05,7.1597519480616e-08,0.00831326753969375,1.98881998557267e-08,4.67169529479899,0,0.247,0.072,0.53,3.18,1.43,4.67,0,0.008,0,"sim_diff_3.18_nh4_4.67_no3_0_mois_0.53_o2_0.008"
"18","HARV_004-M-10.5-34-20181009","M",0.593444196,14.7,0.8,1.43414048037368,3.17752259411457,0.000198525350701867,9.26966618063192e-07,0.107631123986226,2.57490727239776e-07,6.232180137455,2.35144587939679,-0.053,0.007,0.59,3.18,1.43,6.23,2.35,0.108,0,"sim_diff_3.18_nh4_6.23_no3_2.35_mois_0.59_o2_0.108"
"19","HARV_004-M-15-0.5-20180710","M",0.367865992842105,17.5,0.8,1.43414048037368,3.17752259411457,0.000270558542966993,1.26330837183032e-06,0.146684138729187,3.50918992175089e-07,2.78315686169585,0.362359776197275,0.154,0.109,0.37,3.18,1.43,2.78,0.36,0.147,0,"sim_diff_3.18_nh4_2.78_no3_0.36_mois_0.37_o2_0.147"
"20","HARV_004-M-21-0-20180418","M",0.558739857052632,4.3,0.8,1.43414048037368,3.17752259411457,2.31141750092403e-05,1.07926108992562e-07,0.0125314204330252,2.99794747201561e-08,4.82378494888641,0.20062116276193,0.304,0.084,0.56,3.18,1.43,4.82,0.2,0.013,0,"sim_diff_3.18_nh4_4.82_no3_0.2_mois_0.56_o2_0.013"
"21","HARV_004-M-27-32-20181009","M",0.481522702894737,14.9,0.8,1.43414048037368,3.17752259411457,0.000203726249315989,9.51250969568821e-07,0.110450807022158,2.64236380435784e-07,2.74337833757267,3.00348671313728,0.026,0.025,0.48,3.18,1.43,2.74,3,0.11,0,"sim_diff_3.18_nh4_2.74_no3_3_mois_0.48_o2_0.11"
"22","HARV_004-M-28.5-34-20180710","M",0.305398182736842,17.6,0.8,1.43414048037368,3.17752259411457,0.000273606412947616,1.27753967135074e-06,0.148336550729058,3.5487213093076e-07,3.48182973754207,0.329939272788268,0.058,0.156,0.31,3.18,1.43,3.48,0.33,0.148,0,"sim_diff_3.18_nh4_3.48_no3_0.33_mois_0.31_o2_0.148"
"23","HARV_004-M-33.5-2.5-20180710","M",0.323617960684211,16.9,0.8,1.43414048037368,3.17752259411457,0.000254756345437684,1.18952379192693e-06,0.138116929173738,3.30423275535258e-07,0.963520268873432,0,-0.004,0,0.32,3.18,1.43,0.96,0,0.138,0,"sim_diff_3.18_nh4_0.96_no3_0_mois_0.32_o2_0.138"
"24","HARV_004-M-36-30.5-20180418","M",0.529241168947368,4.3,0.8,1.43414048037368,3.17752259411457,2.31276521119699e-05,1.07989037098692e-07,0.0125387270853481,2.99969547496367e-08,3.01860801085824,0,0.047,0.097,0.53,3.18,1.43,3.02,0,0.013,0,"sim_diff_3.18_nh4_3.02_no3_0_mois_0.53_o2_0.013"
"25","HARV_004-M-6-10-20181009","M",0.692351562,15,0.8,1.43414048037368,3.17752259411457,0.000205267550705954,9.58447707576438e-07,0.111286428268598,2.66235474326788e-07,3.35934309073406,2.19336284313154,0.484,-0.045,0.69,3.18,1.43,3.36,2.19,0.111,0,"sim_diff_3.18_nh4_3.36_no3_2.19_mois_0.69_o2_0.111"
"26","HARV_021-M-3-14-20181010","M",0.216902118421053,16.5,0.8,1.43414048037368,3.17752259411457,0.000244811763595485,1.14308994674935e-06,0.132725443817007,3.17524985208151e-07,0.508637999911726,1.16959171524417,-0.081,-0.082,0.22,3.18,1.43,0.51,1.17,0.133,0,"sim_diff_3.18_nh4_0.51_no3_1.17_mois_0.22_o2_0.133"
"27","HARV_021-M-6.5-2-20180712","M",0.197814732,15.7,0.8,1.43414048037368,3.17752259411457,0.00022450331641442,1.04826451244087e-06,0.121715157277857,2.91184586789131e-07,0.506619988985247,0,0.078,0.049,0.2,3.18,1.43,0.51,0,0.122,0,"sim_diff_3.18_nh4_0.51_no3_0_mois_0.2_o2_0.122"
"28","HARV_037-M-0-34.5-20180710","M",0.400835114842105,14.2,0.8,1.43414048037368,3.17752259411457,0.000187571566625661,8.75820544555614e-07,0.101692496562291,2.43283484598782e-07,1.46725935428194,0,0.018,0,0.4,3.18,1.43,1.47,0,0.102,0,"sim_diff_3.18_nh4_1.47_no3_0_mois_0.4_o2_0.102"
"29","HARV_037-M-0.5-23-20181010","M",0.396497072473684,14.9,0.8,1.43414048037368,3.17752259411457,0.000204068287756196,9.52848036215699e-07,0.110636244205045,2.64680010059916e-07,0.643797865611847,0.139846503097681,0.584,0.166,0.4,3.18,1.43,0.64,0.14,0.111,0,"sim_diff_3.18_nh4_0.64_no3_0.14_mois_0.4_o2_0.111"
"30","HARV_037-M-10-4.5-20180419","M",1.00208778710526,2,0.8,1.43414048037368,3.17752259411457,6.00195898512631e-06,2.80247112145976e-08,0.00325398035769494,7.78464200405488e-09,6.58483581739379,0.0668672882810782,0.049,0.006,1,3.18,1.43,6.58,0.07,0.003,0,"sim_diff_3.18_nh4_6.58_no3_0.07_mois_1_o2_0.003"
"31","HARV_037-M-19-4-20181010","M",0.661117656947368,14.5,0.8,1.43414048037368,3.17752259411457,0.000193563367488967,9.03797824851206e-07,0.104940969663279,2.51054951347557e-07,5.2202799864111,0,0.352,0.129,0.66,3.18,1.43,5.22,0,0.105,0,"sim_diff_3.18_nh4_5.22_no3_0_mois_0.66_o2_0.105"
"32","HARV_013-M-0-6-20180712","M",0.116259535473684,17.2,0.8,1.43414048037368,3.17752259411457,0.000263796508187725,1.23173466858082e-06,0.143018080962995,3.42148519050227e-07,0.148505754901056,0.00406359030823786,0.068,0.023,0.12,3.18,1.43,0.15,0,0.143,0,"sim_diff_3.18_nh4_0.15_no3_0_mois_0.12_o2_0.143"
"33","HARV_013-M-10.5-37-20180418","M",0.175256911684211,3.7,0.8,1.43414048037368,3.17752259411457,1.7903747758149e-05,8.35972657968049e-08,0.0097065714175179,2.32214627213347e-08,0.529595539615406,0.0852030678876521,-0.017,-0.006,0.18,3.18,1.43,0.53,0.09,0.01,0,"sim_diff_3.18_nh4_0.53_no3_0.09_mois_0.18_o2_0.01"
"34","HARV_013-M-2.5-25-20180712","M",0.118862360894737,16.9,0.8,1.43414048037368,3.17752259411457,0.000255784248855909,1.19432334096144e-06,0.138674210144967,3.317564836004e-07,0.335009111714217,0,0.008,0.022,0.12,3.18,1.43,0.34,0,0.139,0,"sim_diff_3.18_nh4_0.34_no3_0_mois_0.12_o2_0.139"
"35","HARV_013-M-24.5-7.5-20180418","M",0.206490816736842,3.6,0.8,1.43414048037368,3.17752259411457,1.70550762453539e-05,7.96345972545709e-08,0.00924646157011407,2.2120721459603e-08,0.612168576869368,0.103668419234041,0.028,-0.006,0.21,3.18,1.43,0.61,0.1,0.009,0,"sim_diff_3.18_nh4_0.61_no3_0.1_mois_0.21_o2_0.009"
"36","HARV_021-M-28.5-1-20180417","M",0.224710594684211,3.5,0.8,1.43414048037368,3.17752259411457,1.62288507857239e-05,7.57767351862594e-08,0.00879852091884901,2.10490931072943e-08,0.463400921643154,0,-0.012,0.002,0.22,3.18,1.43,0.46,0,0.009,0,"sim_diff_3.18_nh4_0.46_no3_0_mois_0.22_o2_0.009"
"37","HARV_002-M-1-33.5-20180711","M",0.226445811631579,19.2,0.8,1.43414048037368,3.17752259411457,0.000319103096610671,1.48997554837667e-06,0.173002716450403,4.13882096771298e-07,0.423807106170351,0,0.256,0.178,0.23,3.18,1.43,0.42,0,0.173,0,"sim_diff_3.18_nh4_0.42_no3_0_mois_0.23_o2_0.173"
"38","HARV_002-M-12-2.5-20181008","M",0.288913621736842,15.4,0.8,1.43414048037368,3.17752259411457,0.000216661285258124,1.01164802455155e-06,0.117463576184041,2.81013340153209e-07,1.49547015456973,0.999734191728936,0.062,-0.038,0.29,3.18,1.43,1.5,1,0.117,0,"sim_diff_3.18_nh4_1.5_no3_1_mois_0.29_o2_0.117"
"39","HARV_002-M-21.5-4-20180711","M",0.275031886157895,18.9,0.8,1.43414048037368,3.17752259411457,0.000310132213600244,1.4480881568883e-06,0.168139124883141,4.0224671024675e-07,0.652818264179387,0.0725353626865985,0.188,0.083,0.28,3.18,1.43,0.65,0.07,0.168,0,"sim_diff_3.18_nh4_0.65_no3_0.07_mois_0.28_o2_0.168"
"40","HARV_002-M-25.5-36.5-20181008","M",0.642897879,15.3,0.8,1.43414048037368,3.17752259411457,0.000212713854043761,9.93216439114838e-07,0.115323464319445,2.75893455309677e-07,4.59635070651938,2.95392138738979,-0.077,-0.043,0.64,3.18,1.43,4.6,2.95,0.115,0,"sim_diff_3.18_nh4_4.6_no3_2.95_mois_0.64_o2_0.115"
"41","HARV_002-M-37-16.5-20181008","M",0.653309180684211,15.1,0.8,1.43414048037368,3.17752259411457,0.000207828903136852,9.70407329821877e-07,0.112675073295985,2.69557591617188e-07,7.79294617835486,0.398573699052779,-0.073,0.003,0.65,3.18,1.43,7.79,0.4,0.113,0,"sim_diff_3.18_nh4_7.79_no3_0.4_mois_0.65_o2_0.113"
"42","HARV_002-M-9-4-20180711","M",0.262017759052632,18.9,0.8,1.43414048037368,3.17752259411457,0.00031021165319667,1.44845908107395e-06,0.168182193302475,4.02349744742763e-07,1.17308739537365,0.0682705226548184,0.272,0.157,0.26,3.18,1.43,1.17,0.07,0.168,0,"sim_diff_3.18_nh4_1.17_no3_0.07_mois_0.26_o2_0.168"
"43","HARV_035-M-27-3-20181011","M",0.408643591105263,16,0.8,1.43414048037368,3.17752259411457,0.000231102956118223,1.07907995074657e-06,0.125293172058907,2.99744430762935e-07,0.914125867548671,0.329812457893981,0.148,0.089,0.41,3.18,1.43,0.91,0.33,0.125,0,"sim_diff_3.18_nh4_0.91_no3_0.33_mois_0.41_o2_0.125"
"44","HARV_021-M-38-18.5-20180712","M",0.294986881052632,16.4,0.8,1.43414048037368,3.17752259411457,0.00024184931563865,1.12925750492755e-06,0.131119343627699,3.13682640257652e-07,1.0282482450248,0,0.104,0.065,0.29,3.18,1.43,1.03,0,0.131,0,"sim_diff_3.18_nh4_1.03_no3_0_mois_0.29_o2_0.131"
"45","HARV_035-M-0.5-36.5-20180419","M",0.37307164368421,1.8,0.8,1.43414048037368,3.17752259411457,5.05390403862373e-06,2.35979955110836e-08,0.00273998947878693,6.55499875307877e-09,0.438614123501115,0,0.025,0.017,0.37,3.18,1.43,0.44,0,0.003,0,"sim_diff_3.18_nh4_0.44_no3_0_mois_0.37_o2_0.003"
"46","HARV_035-M-19-5.5-20181011","M",0.897974770263158,16.5,0.8,1.43414048037368,3.17752259411457,0.000241538468798703,1.12780607999394e-06,0.130950817065963,3.13279466664984e-07,10.4460598796505,2.47954822054529,0.067,0.055,0.9,3.18,1.43,10.45,2.48,0.131,0,"sim_diff_3.18_nh4_10.45_no3_2.48_mois_0.9_o2_0.131"
"47","HARV_035-M-20-32.5-20181011","M",0.512756607947368,15.5,0.8,1.43414048037368,3.17752259411457,0.000218164276362172,1.01866588184672e-06,0.118278427392202,2.82962744957422e-07,1.29691938279931,0.29490252297321,0.082,0.07,0.51,3.18,1.43,1.3,0.29,0.118,0,"sim_diff_3.18_nh4_1.3_no3_0.29_mois_0.51_o2_0.118"
"48","HARV_035-M-25.5-9-20180419","M",0.334896870842105,0.9,0.8,1.43414048037368,3.17752259411457,1.5036653201488e-06,7.0210053859088e-09,0.000815216736474966,1.95027927386355e-09,0.218149186628807,0.450132224117002,-0.006,-0.005,0.33,3.18,1.43,0.22,0.45,0.001,0,"sim_diff_3.18_nh4_0.22_no3_0.45_mois_0.33_o2_0.001"
"49","HARV_037-M-5-13.5-20180710","M",0.919664982105263,14.9,0.8,1.43414048037368,3.17752259411457,0.000201965981973728,9.43031822445425e-07,0.109496472717274,2.61953284012618e-07,2.99239040988718,0,0.305,0.315,0.92,3.18,1.43,2.99,0,0.109,0,"sim_diff_3.18_nh4_2.99_no3_0_mois_0.92_o2_0.109"
"50","HARV_005-M-11-37-20180711","M",0.471979009684211,18.6,0.8,1.43414048037368,3.17752259411457,0.000300400389837649,1.4026477346505e-06,0.162862986967753,3.8962437073625e-07,1.64819663997412,0.163469912426914,0.476,0.363,0.47,3.18,1.43,1.65,0.16,0.163,0,"sim_diff_3.18_nh4_1.65_no3_0.16_mois_0.47_o2_0.163"
"51","HARV_005-M-23-34.5-20181008","M",0.594311804473684,15.9,0.8,1.43414048037368,3.17752259411457,0.000227744633703013,1.06339906787399e-06,0.123472447325369,2.95388629964997e-07,3.21412349570235,2.43608655079673,-0.022,0.008,0.59,3.18,1.43,3.21,2.44,0.123,0,"sim_diff_3.18_nh4_3.21_no3_2.44_mois_0.59_o2_0.123"
"52","HARV_005-M-23.5-6.5-20181008","M",0.429466194473684,15.8,0.8,1.43414048037368,3.17752259411457,0.000225978473292265,1.0551524044775e-06,0.122514918075443,2.93097890132639e-07,0.403933006759166,1.70443353189932,0.045,-0.015,0.43,3.18,1.43,0.4,1.7,0.123,0,"sim_diff_3.18_nh4_0.4_no3_1.7_mois_0.43_o2_0.123"
"53","HARV_005-M-24.5-36-20180711","M",0.360057516578947,18.1,0.8,1.43414048037368,3.17752259411457,0.00028704435068763,1.34028490593446e-06,0.155621969633501,3.72301362759572e-07,1.47702134429651,0,0.245,0.16,0.36,3.18,1.43,1.48,0,0.156,0,"sim_diff_3.18_nh4_1.48_no3_0_mois_0.36_o2_0.156"
"54","HARV_005-M-36-21-20180417","M",0.471111401210526,3.8,0.8,1.43414048037368,3.17752259411457,1.86501174521575e-05,8.70822604770002e-08,0.0101112180220517,2.41895167991667e-08,6.08217741543225,0,0.131,0.022,0.47,3.18,1.43,6.08,0,0.01,0,"sim_diff_3.18_nh4_6.08_no3_0_mois_0.47_o2_0.01"
"55","HARV_005-M-7-1.5-20180711","M",0.38955620468421,17.6,0.8,1.43414048037368,3.17752259411457,0.000273153110865707,1.27542308575428e-06,0.148090791623691,3.54284190487299e-07,1.75647174808541,0,0.187,0.128,0.39,3.18,1.43,1.76,0,0.148,0,"sim_diff_3.18_nh4_1.76_no3_0_mois_0.39_o2_0.148"
"56","HARV_021-M-28-1-20181010","M",0.190006255736842,16.7,0.8,1.43414048037368,3.17752259411457,0.000250160569995753,1.16806491826811e-06,0.135625315510019,3.24462477296696e-07,0.372513238276814,0.358023258181768,-0.009,-0.019,0.19,3.18,1.43,0.37,0.36,0.136,0,"sim_diff_3.18_nh4_0.37_no3_0.36_mois_0.19_o2_0.136"
"57","HARV_005-M-0.5-19.5-20181008","M",0.583032894315789,16.1,0.8,1.43414048037368,3.17752259411457,0.000232833423759372,1.08715995529668e-06,0.126231350365003,3.019888764713e-07,5.67821959706333,2.10455382129329,0.204,0.18,0.58,3.18,1.43,5.68,2.1,0.126,0,"sim_diff_3.18_nh4_5.68_no3_2.1_mois_0.58_o2_0.126"
"58","HARV_034-M-7-1-20180418","M",0.619472450210526,3.1,0.8,1.43414048037368,3.17752259411457,1.30217701940394e-05,6.08020398165266e-08,0.00705979240091892,1.68894555045907e-08,1.03537193386909,0,NA,NA,0.62,3.18,1.43,1.04,0,0.007,0,"sim_diff_3.18_nh4_1.04_no3_0_mois_0.62_o2_0.007"
"59","HARV_013-M-30-30.5-20180418","M",0.235121896368421,4,0.8,1.43414048037368,3.17752259411457,2.04967376202494e-05,9.57046114564172e-08,0.0111123687746618,2.65846142934492e-08,0.781471974433482,0.188270494796594,0.015,0.01,0.24,3.18,1.43,0.78,0.19,0.011,0,"sim_diff_3.18_nh4_0.78_no3_0.19_mois_0.24_o2_0.011"
"60","HARV_021-M-1-22.5-20180417","M",0.222107769263158,3.7,0.8,1.43414048037368,3.17752259411457,1.78872648611924e-05,8.35203028538167e-08,0.00969763516469316,2.32000841260602e-08,1.12073489879737,0,0.067,0.014,0.22,3.18,1.43,1.12,0,0.01,0,"sim_diff_3.18_nh4_1.12_no3_0_mois_0.22_o2_0.01"
"61","HARV_021-M-16.5-6-20180417","M",0.340102521684211,4.2,0.8,1.43414048037368,3.17752259411457,2.22776057099413e-05,1.04019948840193e-07,0.0120778718375557,2.88944302333869e-08,0.299349314809837,0.179393452196509,0.05,0.019,0.34,3.18,1.43,0.3,0.18,0.012,0,"sim_diff_3.18_nh4_0.3_no3_0.18_mois_0.34_o2_0.012"
"62","HARV_034-M-34.5-11-20181010","M",1.38643834094737,15.7,0.8,1.43414048037368,3.17752259411457,0.000219272635968638,1.02384110179909e-06,0.118879327931117,2.84400306055303e-07,5.45833911144295,0.171812126994572,0.123,0.134,1.39,3.18,1.43,5.46,0.17,0.119,0,"sim_diff_3.18_nh4_5.46_no3_0.17_mois_1.39_o2_0.119"
